# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train, win_rate, training_time
7,size_7_size_7_NN_11_epoch_178,37,proportional,cuda,0.00025,Adam,111000,0.1,1000,83.0,0.997,0.917,10.1,0.1,0.917,4574.587850570679
7,size_7_size_7_NN_11_epoch_178,38,proportional,cuda,0.00025,Adam,114000,0.1,1000,85.0,0.989,0.916,10.4,0.1,0.915,4695.563209056854
7,size_7_size_7_NN_11_epoch_178,39,proportional,cuda,0.00025,Adam,117000,0.1,1000,95.0,0.995,0.905,10.3,0.1,0.905,4816.41203212738
7,size_7_size_7_NN_11_epoch_178,40,proportional,cuda,0.00025,Adam,120000,0.1,1000,74.0,0.999,0.927,10.1,0.1,0.926,4936.3562252521515
7,size_7_size_7_NN_11_epoch_178,41,proportional,cuda,0.00025,Adam,123000,0.1,1000,87.0,0.996,0.913,10.4,0.1,0.913,5059.004976272583
7,size_7_size_7_NN_11_epoch_178,42,proportional,cuda,0.00025,Adam,126000,0.1,1000,82.0,0.995,0.918,10.1,0.1,0.918,5179.758150339127
7,size_7_size_7_NN_11_epoch_178,43,proportional,cuda,0.00025,Adam,129000,0.1,1000,90.0,0.994,0.91,10.3,0.1,0.91,5300.9536690711975
7,size_7_size_7_NN_11_epoch_178,44,proportional,cuda,0.00025,Adam,132000,0.1,1000,88.0,0.995,0.912,10.1,0.1,0.912,5422.576252937317
7,size_7_size_7_NN_11_epoch_178,45,proportional,cuda,0.00025,Adam,135000,0.1,1000,98.0,0.995,0.902,10.4,0.1,0.902,5544.5694942474365
7,size_7_size_7_NN_11_epoch_178,46,proportional,cuda,0.00025,Adam,138000,0.1,1000,89.0,0.991,0.914,10.4,0.1,0.911,5665.634448051453
7,size_7_size_7_NN_11_epoch_178,47,proportional,cuda,0.00025,Adam,141000,0.1,1000,84.0,0.995,0.916,10.0,0.1,0.916,5786.731405973434
7,size_7_size_7_NN_11_epoch_178,48,proportional,cuda,0.00025,Adam,144000,0.1,1000,87.0,0.991,0.915,10.3,0.1,0.913,5911.2087507247925
7,size_7_size_7_NN_11_epoch_178,49,proportional,cuda,0.00025,Adam,147000,0.1,1000,80.0,0.994,0.92,10.1,0.1,0.92,6031.838072538376
7,size_7_size_7_NN_11_epoch_178,50,proportional,cuda,0.00025,Adam,150000,0.1,1000,84.0,0.997,0.916,10.0,0.1,0.916,6152.614097356796
7,size_7_size_7_NN_11_epoch_178,51,proportional,cuda,0.00025,Adam,153000,0.1,1000,91.0,0.985,0.91,10.6,0.1,0.909,6272.549669981003
7,size_7_size_7_NN_11_epoch_178,52,proportional,cuda,0.00025,Adam,156000,0.1,1000,105.0,0.988,0.896,10.4,0.1,0.895,6393.3753933906555
7,size_7_size_7_NN_11_epoch_178,53,proportional,cuda,0.00025,Adam,159000,0.1,1000,101.0,0.987,0.899,10.7,0.1,0.899,6512.905604124069
7,size_7_size_7_NN_11_epoch_178,54,proportional,cuda,0.00025,Adam,162000,0.1,1000,94.0,0.992,0.906,10.3,0.1,0.906,6635.871205568314
7,size_7_size_7_NN_11_epoch_178,55,proportional,cuda,0.00025,Adam,165000,0.1,1000,82.0,0.994,0.919,10.0,0.1,0.918,6757.182628154755
7,size_7_size_7_NN_11_epoch_178,56,proportional,cuda,0.00025,Adam,168000,0.1,1000,90.0,0.993,0.91,10.3,0.1,0.91,6877.831889390945
7,size_7_size_7_NN_11_epoch_178,57,proportional,cuda,0.00025,Adam,171000,0.1,1000,96.0,0.995,0.904,10.3,0.1,0.904,7001.290832042694
7,size_7_size_7_NN_11_epoch_178,58,proportional,cuda,0.00025,Adam,174000,0.1,1000,83.0,0.984,0.918,10.7,0.1,0.917,7125.561080932617
7,size_7_size_7_NN_11_epoch_178,59,proportional,cuda,0.00025,Adam,177000,0.1,1000,87.0,0.995,0.913,10.3,0.1,0.913,7248.50220990181
7,size_7_size_7_NN_11_epoch_178,60,proportional,cuda,0.00025,Adam,180000,0.1,1000,96.0,0.994,0.904,10.4,0.1,0.904,7371.320012331009
7,size_7_size_7_NN_11_epoch_178,61,proportional,cuda,0.00025,Adam,183000,0.1,1000,82.0,0.994,0.919,10.3,0.1,0.918,7494.451927900314
7,size_7_size_7_NN_11_epoch_178,62,proportional,cuda,0.00025,Adam,186000,0.1,1000,106.0,0.993,0.894,10.2,0.1,0.894,7615.869387149811
7,size_7_size_7_NN_11_epoch_178,63,proportional,cuda,0.00025,Adam,189000,0.1,1000,82.0,0.994,0.918,10.2,0.1,0.918,7736.97566485405
7,size_7_size_7_NN_11_epoch_178,64,proportional,cuda,0.00025,Adam,192000,0.1,1000,89.0,0.985,0.912,10.6,0.1,0.911,7857.770552396774
7,size_7_size_7_NN_11_epoch_178,65,proportional,cuda,0.00025,Adam,195000,0.1,1000,88.0,0.99,0.914,10.4,0.1,0.912,7979.630204200745
7,size_7_size_7_NN_11_epoch_178,66,proportional,cuda,0.00025,Adam,198000,0.1,1000,91.0,0.99,0.911,10.5,0.1,0.909,8102.825026035309
7,size_7_size_7_NN_11_epoch_178,67,proportional,cuda,0.00025,Adam,201000,0.1,1000,89.0,0.999,0.912,10.0,0.1,0.911,8224.676438093185
7,size_7_size_7_NN_11_epoch_178,68,proportional,cuda,0.00025,Adam,204000,0.1,1000,91.0,0.993,0.909,10.1,0.1,0.909,8348.391182899475
7,size_7_size_7_NN_11_epoch_178,69,proportional,cuda,0.00025,Adam,207000,0.1,1000,91.0,0.991,0.909,10.5,0.1,0.909,8470.143081903458
7,size_7_size_7_NN_11_epoch_178,70,proportional,cuda,0.00025,Adam,210000,0.1,1000,82.0,0.997,0.918,10.0,0.1,0.918,8592.331221818924
7,size_7_size_7_NN_11_epoch_178,71,proportional,cuda,0.00025,Adam,213000,0.1,1000,77.0,0.994,0.924,10.2,0.1,0.923,8714.012835025787
7,size_7_size_7_NN_11_epoch_178,72,proportional,cuda,0.00025,Adam,216000,0.1,1000,65.0,0.996,0.937,10.2,0.1,0.935,8835.987085103989
7,size_7_size_7_NN_11_epoch_178,73,proportional,cuda,0.00025,Adam,219000,0.1,1000,89.0,0.992,0.911,10.2,0.1,0.911,8961.091097831726
7,size_7_size_7_NN_11_epoch_178,74,proportional,cuda,0.00025,Adam,222000,0.1,1000,96.0,0.995,0.905,10.4,0.1,0.904,9085.207972764969
7,size_7_size_7_NN_11_epoch_178,75,proportional,cuda,0.00025,Adam,225000,0.1,1000,97.0,0.994,0.903,10.4,0.1,0.903,9205.869466781616
7,size_7_size_7_NN_11_epoch_178,76,proportional,cuda,0.00025,Adam,228000,0.1,1000,79.0,0.99,0.922,10.2,0.1,0.921,9329.822379350662
7,size_7_size_7_NN_11_epoch_178,77,proportional,cuda,0.00025,Adam,231000,0.1,1000,92.0,0.991,0.909,10.5,0.1,0.908,9452.786231279373
7,size_7_size_7_NN_11_epoch_178,78,proportional,cuda,0.00025,Adam,234000,0.1,1000,99.0,0.997,0.901,10.2,0.1,0.901,9576.278478384018
7,size_7_size_7_NN_11_epoch_178,79,proportional,cuda,0.00025,Adam,237000,0.1,1000,94.0,0.996,0.906,10.1,0.1,0.906,9697.801305532455
7,size_7_size_7_NN_11_epoch_178,80,proportional,cuda,0.00025,Adam,240000,0.1,1000,64.0,0.991,0.938,10.2,0.1,0.936,9823.84048628807
7,size_7_size_7_NN_11_epoch_178,81,proportional,cuda,0.00025,Adam,243000,0.1,1000,93.0,0.994,0.907,10.5,0.1,0.907,9945.673125982285
7,size_7_size_7_NN_11_epoch_178,82,proportional,cuda,0.00025,Adam,246000,0.1,1000,79.0,0.995,0.921,10.1,0.1,0.921,10068.986040115356
7,size_7_size_7_NN_11_epoch_178,83,proportional,cuda,0.00025,Adam,249000,0.1,1000,98.0,0.995,0.904,10.4,0.1,0.902,10190.238226652145
7,size_7_size_7_NN_11_epoch_178,84,proportional,cuda,0.00025,Adam,252000,0.1,1000,94.0,0.997,0.906,10.1,0.1,0.906,10311.260306596756
7,size_7_size_7_NN_11_epoch_178,85,proportional,cuda,0.00025,Adam,255000,0.1,1000,95.0,0.992,0.906,10.3,0.1,0.905,10434.29518866539
7,size_7_size_7_NN_11_epoch_178,86,proportional,cuda,0.00025,Adam,258000,0.1,1000,77.0,0.99,0.924,10.2,0.1,0.923,10559.488352298737
7,size_7_size_7_NN_11_epoch_178,87,proportional,cuda,0.00025,Adam,261000,0.1,1000,89.0,0.998,0.911,10.0,0.1,0.911,10680.645302534103
7,size_7_size_7_NN_11_epoch_178,88,proportional,cuda,0.00025,Adam,264000,0.1,1000,75.0,0.998,0.925,10.0,0.1,0.925,10802.72164106369
7,size_7_size_7_NN_11_epoch_178,89,proportional,cuda,0.00025,Adam,267000,0.1,1000,99.0,0.988,0.901,10.4,0.1,0.901,10924.387239694595
7,size_7_size_7_NN_11_epoch_178,90,proportional,cuda,0.00025,Adam,270000,0.1,1000,92.0,0.99,0.908,10.4,0.1,0.908,11046.78706407547
7,size_7_size_7_NN_11_epoch_178,91,proportional,cuda,0.00025,Adam,273000,0.1,1000,82.0,0.995,0.918,10.3,0.1,0.918,11171.775310277939
7,size_7_size_7_NN_11_epoch_178,92,proportional,cuda,0.00025,Adam,276000,0.1,1000,80.0,0.997,0.92,10.1,0.1,0.92,11294.006517648697
7,size_7_size_7_NN_11_epoch_178,93,proportional,cuda,0.00025,Adam,279000,0.1,1000,83.0,0.994,0.917,10.2,0.1,0.917,11418.54729771614
7,size_7_size_7_NN_11_epoch_178,94,proportional,cuda,0.00025,Adam,282000,0.1,1000,107.0,0.999,0.893,10.2,0.1,0.893,11542.370743274689
7,size_7_size_7_NN_11_epoch_178,95,proportional,cuda,0.00025,Adam,285000,0.1,1000,91.0,0.994,0.91,10.3,0.1,0.909,11663.999440431595
7,size_7_size_7_NN_11_epoch_178,96,proportional,cuda,0.00025,Adam,288000,0.1,1000,81.0,0.997,0.92,10.0,0.1,0.919,11787.723482608795
7,size_7_size_7_NN_11_epoch_178,97,proportional,cuda,0.00025,Adam,291000,0.1,1000,84.0,0.994,0.916,10.3,0.1,0.916,11907.55855345726
7,size_7_size_7_NN_11_epoch_178,98,proportional,cuda,0.00025,Adam,294000,0.1,1000,82.0,0.991,0.92,10.3,0.1,0.918,12029.300505638123
7,size_7_size_7_NN_11_epoch_178,99,proportional,cuda,0.00025,Adam,297000,0.1,1000,77.0,0.997,0.923,9.8,0.1,0.923,12150.590225696564
7,size_7_size_7_NN_11_epoch_178,100,proportional,cuda,0.00025,Adam,300000,0.1,1000,89.0,0.998,0.911,10.0,0.1,0.911,12269.829950332642
7,size_7_size_7_NN_11_epoch_178,101,proportional,cuda,0.00025,Adam,303000,0.1,1000,100.0,0.979,0.904,10.6,0.1,0.9,12391.05619263649
7,size_7_size_7_NN_11_epoch_178,102,proportional,cuda,0.00025,Adam,306000,0.1,1000,87.0,0.994,0.913,10.4,0.1,0.913,12511.177661895752
7,size_7_size_7_NN_11_epoch_178,103,proportional,cuda,0.00025,Adam,309000,0.1,1000,90.0,0.994,0.91,10.1,0.1,0.91,12632.957767248154
7,size_7_size_7_NN_11_epoch_178,104,proportional,cuda,0.00025,Adam,312000,0.1,1000,90.0,0.988,0.911,10.5,0.1,0.91,12756.038930654526
7,size_7_size_7_NN_11_epoch_178,105,proportional,cuda,0.00025,Adam,315000,0.1,1000,89.0,0.99,0.912,10.5,0.1,0.911,12877.45186138153
7,size_7_size_7_NN_11_epoch_178,106,proportional,cuda,0.00025,Adam,318000,0.1,1000,75.0,0.998,0.925,10.1,0.1,0.925,13001.720992565155
7,size_7_size_7_NN_11_epoch_178,107,proportional,cuda,0.00025,Adam,321000,0.1,1000,93.0,0.996,0.907,10.2,0.1,0.907,13122.435457229614
7,size_7_size_7_NN_11_epoch_178,108,proportional,cuda,0.00025,Adam,324000,0.1,1000,96.0,0.994,0.904,10.2,0.1,0.904,13244.285349845886
7,size_7_size_7_NN_11_epoch_178,109,proportional,cuda,0.00025,Adam,327000,0.1,1000,86.0,0.995,0.914,10.1,0.1,0.914,13365.961986780167
7,size_7_size_7_NN_11_epoch_178,110,proportional,cuda,0.00025,Adam,330000,0.1,1000,86.0,0.994,0.916,10.1,0.1,0.914,13484.311283826828
7,size_7_size_7_NN_11_epoch_178,111,proportional,cuda,0.00025,Adam,333000,0.1,1000,86.0,0.996,0.914,10.0,0.1,0.914,13605.331716299057
7,size_7_size_7_NN_11_epoch_178,112,proportional,cuda,0.00025,Adam,336000,0.1,1000,82.0,0.999,0.919,9.9,0.1,0.918,13725.483115911484
7,size_7_size_7_NN_11_epoch_178,113,proportional,cuda,0.00025,Adam,339000,0.1,1000,74.0,1.0,0.926,10.0,0.1,0.926,13846.628328561783
7,size_7_size_7_NN_11_epoch_178,114,proportional,cuda,0.00025,Adam,342000,0.1,1000,87.0,1.0,0.913,9.8,0.1,0.913,13971.183831453323
7,size_7_size_7_NN_11_epoch_178,115,proportional,cuda,0.00025,Adam,345000,0.1,1000,82.0,0.994,0.919,10.1,0.1,0.918,14094.496510505676
7,size_7_size_7_NN_11_epoch_178,116,proportional,cuda,0.00025,Adam,348000,0.1,1000,65.0,0.997,0.935,10.0,0.1,0.935,14217.81086063385
7,size_7_size_7_NN_11_epoch_178,117,proportional,cuda,0.00025,Adam,351000,0.1,1000,117.0,0.995,0.883,10.2,0.1,0.883,14339.053586959839
7,size_7_size_7_NN_11_epoch_178,118,proportional,cuda,0.00025,Adam,354000,0.1,1000,83.0,0.992,0.918,10.3,0.1,0.917,14461.69301700592
7,size_7_size_7_NN_11_epoch_178,119,proportional,cuda,0.00025,Adam,357000,0.1,1000,104.0,0.993,0.898,10.3,0.1,0.896,14586.449466705322
7,size_7_size_7_NN_11_epoch_178,120,proportional,cuda,0.00025,Adam,360000,0.1,1000,93.0,0.994,0.907,10.3,0.1,0.907,14710.276448965073
7,size_7_size_7_NN_11_epoch_178,121,proportional,cuda,0.00025,Adam,363000,0.1,1000,104.0,0.992,0.897,10.4,0.1,0.896,14829.39625120163
7,size_7_size_7_NN_11_epoch_178,122,proportional,cuda,0.00025,Adam,366000,0.1,1000,103.0,0.988,0.901,10.6,0.1,0.897,14949.570297002792
7,size_7_size_7_NN_11_epoch_178,123,proportional,cuda,0.00025,Adam,369000,0.1,1000,91.0,0.994,0.909,10.1,0.1,0.909,15070.871386289597
7,size_7_size_7_NN_11_epoch_178,124,proportional,cuda,0.00025,Adam,372000,0.1,1000,80.0,0.999,0.92,10.0,0.1,0.92,15192.627526760101
7,size_7_size_7_NN_11_epoch_178,125,proportional,cuda,0.00025,Adam,375000,0.1,1000,77.0,0.992,0.924,10.3,0.1,0.923,15315.54948091507
