# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train, win_rate, training_time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,size_9_NN_11,1,proportional,cuda,0.00025,Adam,3000,0.01,1000,300.0,0.7,0.735,15.9,0.01,0.7,127.57559657096863
9,size_9_NN_11,2,proportional,cuda,0.00025,Adam,6000,0.01,1000,57.0,0.943,0.949,4.3,0.01,0.943,258.8380868434906
9,size_9_NN_11,3,proportional,cuda,0.00025,Adam,9000,0.01,1000,24.0,0.976,0.977,2.8,0.01,0.976,400.0175187587738
9,size_9_NN_11,4,proportional,cuda,0.00025,Adam,12000,0.02,1000,30.0,0.97,0.973,4.7,0.02,0.97,532.1180067062378
9,size_9_NN_11,5,proportional,cuda,0.00025,Adam,15000,0.03,1000,284.0,0.716,0.746,17.3,0.03,0.716,658.9695262908936
9,size_9_NN_11,6,proportional,cuda,0.00025,Adam,18000,0.03,1000,115.0,0.885,0.891,9.9,0.03,0.885,787.5805978775024
9,size_9_NN_11,7,proportional,cuda,0.00025,Adam,21000,0.03,1000,60.0,0.94,0.945,7.6,0.03,0.94,918.2202587127686
9,size_9_NN_11,8,proportional,cuda,0.00025,Adam,24000,0.03,1000,21.0,0.979,0.98,5.9,0.03,0.979,1051.4726676940918
9,size_9_NN_11,9,proportional,cuda,0.00025,Adam,27000,0.04,1000,65.0,0.936,0.9390000000000001,9.4,0.04,0.935,1177.7552616596222
9,size_9_NN_11,10,proportional,cuda,0.00025,Adam,30000,0.04,1000,48.0,0.953,0.954,8.7,0.04,0.952,1306.9527871608734
9,size_9_NN_11,11,proportional,cuda,0.00025,Adam,33000,0.05,1000,59.0,0.945,0.945,10.7,0.05,0.941,1432.347640991211
9,size_9_NN_11,12,proportional,cuda,0.00025,Adam,36000,0.05,1000,48.0,0.957,0.961,10.2,0.05,0.952,1560.1215376853943
9,size_9_NN_11,13,proportional,cuda,0.00025,Adam,39000,0.060000000000000005,1000,56.0,0.955,0.947,12.0,0.060000000000000005,0.944,1687.8422372341156
9,size_9_NN_11,14,proportional,cuda,0.00025,Adam,42000,0.060000000000000005,1000,47.0,0.957,0.957,11.6,0.060000000000000005,0.953,1815.426120519638
9,size_9_NN_11,15,proportional,cuda,0.00025,Adam,45000,0.07,1000,76.0,0.945,0.9299999999999999,13.9,0.07,0.924,1941.9621567726135
9,size_9_NN_11,16,proportional,cuda,0.00025,Adam,48000,0.07,1000,89.0,0.926,0.917,14.5,0.07,0.911,2065.4750995635986
9,size_9_NN_11,17,proportional,cuda,0.00025,Adam,51000,0.07,1000,80.0,0.932,0.926,14.4,0.07,0.92,2192.5819730758667
9,size_9_NN_11,18,proportional,cuda,0.00025,Adam,54000,0.07,1000,81.0,0.932,0.926,14.6,0.07,0.919,2318.4710988998413
9,size_9_NN_11,19,proportional,cuda,0.00025,Adam,57000,0.07,1000,56.0,0.952,0.946,13.3,0.07,0.944,2447.0778884887695
9,size_9_NN_11,20,proportional,cuda,0.00025,Adam,60000,0.07,1000,91.0,0.916,0.914,15.0,0.07,0.909,2574.8829708099365
9,size_9_NN_11,21,proportional,cuda,0.00025,Adam,63000,0.07,1000,32.0,0.985,0.97,12.6,0.07,0.968,2703.1358091831207
9,size_9_NN_11,22,proportional,cuda,0.00025,Adam,66000,0.08,1000,120.0,0.896,0.887,17.3,0.08,0.88,2830.5508229732513
9,size_9_NN_11,23,proportional,cuda,0.00025,Adam,69000,0.08,1000,53.0,0.968,0.948,14.6,0.08,0.947,2957.274058818817
9,size_9_NN_11,24,proportional,cuda,0.00025,Adam,72000,0.08,1000,60.0,0.966,0.943,14.5,0.08,0.94,3085.444888353348
9,size_9_NN_11,25,proportional,cuda,0.00025,Adam,75000,0.08,1000,50.0,0.972,0.952,14.4,0.08,0.95,3211.909886598587
9,size_9_NN_11,26,proportional,cuda,0.00025,Adam,78000,0.08,1000,94.0,0.924,0.914,16.2,0.08,0.906,3338.4149553775787
9,size_9_NN_11,27,proportional,cuda,0.00025,Adam,81000,0.08,1000,88.0,0.936,0.92,15.9,0.08,0.912,3464.0803697109222
9,size_9_NN_11,28,proportional,cuda,0.00025,Adam,84000,0.08,1000,61.0,0.96,0.948,14.8,0.08,0.939,3591.1190853118896
9,size_9_NN_11,29,proportional,cuda,0.00025,Adam,87000,0.08,1000,66.0,0.945,0.9390000000000001,15.0,0.08,0.934,3720.666190624237
9,size_9_NN_11,30,proportional,cuda,0.00025,Adam,90000,0.08,1000,40.0,0.988,0.96,14.1,0.08,0.96,3847.853347301483
9,size_9_NN_11,31,proportional,cuda,0.00025,Adam,93000,0.09,1000,94.0,0.955,0.913,16.6,0.09,0.906,3976.0322411060333
9,size_9_NN_11,32,proportional,cuda,0.00025,Adam,96000,0.09,1000,72.0,0.952,0.9319999999999999,16.6,0.09,0.928,4102.165522575378
9,size_9_NN_11,33,proportional,cuda,0.00025,Adam,99000,0.09,1000,101.0,0.936,0.903,17.0,0.09,0.899,4231.352375745773
9,size_9_NN_11,34,proportional,cuda,0.00025,Adam,102000,0.09,1000,88.0,0.962,0.915,16.3,0.09,0.912,4358.050210952759
9,size_9_NN_11,35,proportional,cuda,0.00025,Adam,105000,0.09,1000,90.0,0.948,0.914,16.9,0.09,0.91,4486.166405677795
9,size_9_NN_11,36,proportional,cuda,0.00025,Adam,108000,0.09,1000,84.0,0.965,0.919,16.3,0.09,0.916,4616.309506177902
9,size_9_NN_11,37,proportional,cuda,0.00025,Adam,111000,0.09,1000,95.0,0.934,0.915,17.2,0.09,0.905,4744.118777036667
9,size_9_NN_11,38,proportional,cuda,0.00025,Adam,114000,0.09,1000,76.0,0.955,0.931,16.5,0.09,0.924,4871.238056182861
9,size_9_NN_11,39,proportional,cuda,0.00025,Adam,117000,0.09,1000,55.0,0.981,0.946,16.0,0.09,0.945,4999.578914403915
9,size_9_NN_11,40,proportional,cuda,0.00025,Adam,120000,0.09,1000,84.0,0.956,0.92,16.5,0.09,0.916,5127.137500047684
9,size_9_NN_11,41,proportional,cuda,0.00025,Adam,123000,0.09,1000,77.0,0.969,0.928,16.3,0.09,0.923,5255.918490409851
9,size_9_NN_11,42,proportional,cuda,0.00025,Adam,126000,0.09,1000,68.0,0.969,0.935,16.3,0.09,0.932,5386.015994310379
9,size_9_NN_11,43,proportional,cuda,0.00025,Adam,129000,0.09,1000,89.0,0.949,0.918,16.8,0.09,0.911,5515.013877630234
9,size_9_NN_11,44,proportional,cuda,0.00025,Adam,132000,0.09,1000,84.0,0.96,0.92,16.5,0.09,0.916,5641.235846996307
9,size_9_NN_11,45,proportional,cuda,0.00025,Adam,135000,0.09,1000,107.0,0.929,0.897,17.3,0.09,0.893,5771.7816417217255
9,size_9_NN_11,46,proportional,cuda,0.00025,Adam,138000,0.09,1000,102.0,0.932,0.906,17.7,0.09,0.898,5900.078368425369
9,size_9_NN_11,47,proportional,cuda,0.00025,Adam,141000,0.09,1000,66.0,0.974,0.9359999999999999,15.9,0.09,0.934,6028.667411565781
9,size_9_NN_11,48,proportional,cuda,0.00025,Adam,144000,0.09,1000,97.0,0.944,0.908,17.0,0.09,0.903,6158.901163101196
9,size_9_NN_11,49,proportional,cuda,0.00025,Adam,147000,0.09,1000,76.0,0.967,0.926,16.1,0.09,0.924,6288.054221391678
9,size_9_NN_11,50,proportional,cuda,0.00025,Adam,150000,0.09,1000,82.0,0.965,0.921,16.1,0.09,0.918,6412.678958654404
9,size_9_NN_11,51,proportional,cuda,0.00025,Adam,153000,0.09,1000,57.0,0.986,0.944,15.3,0.09,0.943,6542.02957701683
9,size_9_NN_11,52,proportional,cuda,0.00025,Adam,156000,0.09,1000,66.0,0.964,0.938,16.2,0.09,0.934,6666.648257255554
9,size_9_NN_11,53,proportional,cuda,0.00025,Adam,159000,0.09,1000,78.0,0.96,0.927,16.4,0.09,0.922,6794.148143768311
9,size_9_NN_11,54,proportional,cuda,0.00025,Adam,162000,0.09,1000,92.0,0.937,0.916,17.2,0.09,0.908,6921.129978656769
9,size_9_NN_11,55,proportional,cuda,0.00025,Adam,165000,0.09,1000,110.0,0.936,0.894,17.4,0.09,0.89,7046.65313076973
