# system_size, network_name, epoch, replay_memory, device, learning_rate, optimizer, total_training_steps, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, p_error_train, win_rate, training_time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,size_5_NN_11,1,proportional,cuda,0.00025,Adam,1000,0.01,1000,395.0,0.605,0.613,19.7,0.01,0.605,38.64745020866394
5,size_5_NN_11,2,proportional,cuda,0.00025,Adam,2000,0.01,1000,418.0,0.582,0.595,20.9,0.01,0.582,73.1209716796875
5,size_5_NN_11,3,proportional,cuda,0.00025,Adam,3000,0.01,1000,411.0,0.589,0.598,20.6,0.01,0.589,108.49368739128113
5,size_5_NN_11,4,proportional,cuda,0.00025,Adam,4000,0.01,1000,381.0,0.619,0.6799999999999999,19.1,0.01,0.619,142.14937162399292
5,size_5_NN_11,5,proportional,cuda,0.00025,Adam,5000,0.01,1000,258.0,0.742,0.751,13.1,0.01,0.742,175.01308178901672
5,size_5_NN_11,6,proportional,cuda,0.00025,Adam,6000,0.01,1000,11.0,0.989,0.993,1.2,0.01,0.989,220.64989614486694
5,size_5_NN_11,7,proportional,cuda,0.00025,Adam,7000,0.02,1000,14.0,0.992,0.987,1.8,0.02,0.986,267.562628030777
5,size_5_NN_11,8,proportional,cuda,0.00025,Adam,8000,0.03,1000,16.0,0.997,0.984,1.7,0.03,0.984,314.84459614753723
5,size_5_NN_11,9,proportional,cuda,0.00025,Adam,9000,0.04,1000,24.0,0.993,0.977,2.4,0.04,0.976,362.48786306381226
5,size_5_NN_11,10,proportional,cuda,0.00025,Adam,10000,0.05,1000,33.0,0.99,0.969,3.1,0.05,0.967,409.40733575820923
5,size_5_NN_11,11,proportional,cuda,0.00025,Adam,11000,0.060000000000000005,1000,40.0,0.995,0.96,3.5,0.060000000000000005,0.96,452.7182397842407
5,size_5_NN_11,12,proportional,cuda,0.00025,Adam,12000,0.07,1000,70.0,0.972,0.931,4.8,0.07,0.93,495.5737199783325
5,size_5_NN_11,13,proportional,cuda,0.00025,Adam,13000,0.07,1000,65.0,0.983,0.938,4.5,0.07,0.935,538.4632263183594
5,size_5_NN_11,14,proportional,cuda,0.00025,Adam,14000,0.07,1000,69.0,0.984,0.933,4.4,0.07,0.931,581.738352060318
5,size_5_NN_11,15,proportional,cuda,0.00025,Adam,15000,0.07,1000,61.0,0.981,0.942,4.5,0.07,0.939,623.5703439712524
5,size_5_NN_11,16,proportional,cuda,0.00025,Adam,16000,0.07,1000,57.0,0.997,0.944,3.8,0.07,0.943,666.9910440444946
5,size_5_NN_11,17,proportional,cuda,0.00025,Adam,17000,0.07,1000,56.0,0.989,0.946,4.2,0.07,0.944,710.0970029830933
5,size_5_NN_11,18,proportional,cuda,0.00025,Adam,18000,0.07,1000,51.0,0.987,0.951,4.2,0.07,0.949,752.7532448768616
5,size_5_NN_11,19,proportional,cuda,0.00025,Adam,19000,0.07,1000,53.0,0.998,0.947,3.7,0.07,0.947,795.7279117107391
5,size_5_NN_11,20,proportional,cuda,0.00025,Adam,20000,0.07,1000,56.0,1.0,0.944,3.7,0.07,0.944,838.3134117126465
5,size_5_NN_11,21,proportional,cuda,0.00025,Adam,21000,0.07,1000,50.0,0.996,0.95,3.9,0.07,0.95,880.9526884555817
5,size_5_NN_11,22,proportional,cuda,0.00025,Adam,22000,0.07,1000,49.0,0.994,0.952,3.8,0.07,0.951,924.1789615154266
5,size_5_NN_11,23,proportional,cuda,0.00025,Adam,23000,0.08,1000,76.0,0.994,0.925,4.4,0.08,0.924,966.9251928329468
5,size_5_NN_11,24,proportional,cuda,0.00025,Adam,24000,0.08,1000,64.0,1.0,0.9359999999999999,4.0,0.08,0.936,1010.1936609745026
5,size_5_NN_11,25,proportional,cuda,0.00025,Adam,25000,0.08,1000,52.0,0.999,0.948,4.1,0.08,0.948,1053.081510066986
5,size_5_NN_11,26,proportional,cuda,0.00025,Adam,26000,0.08,1000,60.0,0.998,0.94,4.2,0.08,0.94,1095.9239339828491
5,size_5_NN_11,27,proportional,cuda,0.00025,Adam,27000,0.08,1000,62.0,1.0,0.938,4.1,0.08,0.938,1139.3828132152557
5,size_5_NN_11,28,proportional,cuda,0.00025,Adam,28000,0.08,1000,77.0,0.996,0.923,4.3,0.08,0.923,1182.3313119411469
5,size_5_NN_11,29,proportional,cuda,0.00025,Adam,29000,0.08,1000,54.0,1.0,0.946,4.1,0.08,0.946,1225.3939838409424
5,size_5_NN_11,30,proportional,cuda,0.00025,Adam,30000,0.08,1000,61.0,0.991,0.94,4.3,0.08,0.939,1267.8193254470825
5,size_5_NN_11,31,proportional,cuda,0.00025,Adam,31000,0.08,1000,55.0,0.995,0.946,4.2,0.08,0.945,1310.3327691555023
5,size_5_NN_11,32,proportional,cuda,0.00025,Adam,32000,0.08,1000,65.0,0.991,0.938,4.6,0.08,0.935,1353.409637928009
5,size_5_NN_11,33,proportional,cuda,0.00025,Adam,33000,0.08,1000,71.0,0.997,0.9299999999999999,4.2,0.08,0.929,1396.744258403778
5,size_5_NN_11,34,proportional,cuda,0.00025,Adam,34000,0.08,1000,63.0,1.0,0.937,4.0,0.08,0.937,1439.6710724830627
5,size_5_NN_11,35,proportional,cuda,0.00025,Adam,35000,0.08,1000,70.0,0.998,0.9319999999999999,4.2,0.08,0.93,1483.3331382274628
5,size_5_NN_11,36,proportional,cuda,0.00025,Adam,36000,0.08,1000,68.0,0.993,0.933,4.4,0.08,0.932,1526.811665058136
5,size_5_NN_11,37,proportional,cuda,0.00025,Adam,37000,0.08,1000,58.0,1.0,0.942,4.1,0.08,0.942,1569.2248091697693
5,size_5_NN_11,38,proportional,cuda,0.00025,Adam,38000,0.08,1000,68.0,1.0,0.9319999999999999,4.1,0.08,0.932,1611.9484519958496
5,size_5_NN_11,39,proportional,cuda,0.00025,Adam,39000,0.08,1000,57.0,1.0,0.943,4.1,0.08,0.943,1654.8892517089844
5,size_5_NN_11,40,proportional,cuda,0.00025,Adam,40000,0.08,1000,62.0,0.998,0.9390000000000001,4.1,0.08,0.938,1698.0125980377197
5,size_5_NN_11,41,proportional,cuda,0.00025,Adam,41000,0.08,1000,71.0,0.995,0.931,4.3,0.08,0.929,1740.868038892746
5,size_5_NN_11,42,proportional,cuda,0.00025,Adam,42000,0.08,1000,53.0,0.999,0.947,4.0,0.08,0.947,1783.6466629505157
5,size_5_NN_11,43,proportional,cuda,0.00025,Adam,43000,0.08,1000,57.0,0.995,0.943,4.2,0.08,0.943,1826.4519746303558
5,size_5_NN_11,44,proportional,cuda,0.00025,Adam,44000,0.08,1000,59.0,0.998,0.9410000000000001,4.2,0.08,0.941,1869.3609642982483
5,size_5_NN_11,45,proportional,cuda,0.00025,Adam,45000,0.08,1000,69.0,0.997,0.931,4.1,0.08,0.931,1912.3205707073212
5,size_5_NN_11,46,proportional,cuda,0.00025,Adam,46000,0.08,1000,56.0,0.999,0.944,4.2,0.08,0.944,1955.2889823913574
5,size_5_NN_11,47,proportional,cuda,0.00025,Adam,47000,0.08,1000,60.0,0.993,0.942,4.4,0.08,0.94,1998.4255938529968
5,size_5_NN_11,48,proportional,cuda,0.00025,Adam,48000,0.08,1000,60.0,0.999,0.94,4.0,0.08,0.94,2041.3537707328796
5,size_5_NN_11,49,proportional,cuda,0.00025,Adam,49000,0.08,1000,74.0,0.997,0.926,4.2,0.08,0.926,2084.3051834106445
